capitulo,titulo,total_verses,tipo,epigrafes,temas
1,Los caminos de los justos y los impíos,6,sabiduria,,"Bendición, Compromiso, Consejería, Discipulado, Disciplina, Educación, Maligno, Dios: Conocimiento, Días festivos: año nuevo, Juicio, Ley, Obediencia, Justicia, Escrituras"
2,El reinado del Mesías,12,realeza,Mesiánico,"Enojo, Bendición, Fe, Dios: Padre, Dios: Ira, Gobierno, Cielo, Santidad, Jesús: Resurrección, Gozo, Reino de Dios, Obediencia, Persecución, Profecía: Jesús, Reverencia, Servicio, Sumisión, Sabiduría"
3,Un clamor al Señor en tiempos difíciles,8,lamento,"Sobrescrito, Selah","Seguridad, Bendición, Ánimo, Aliento, Maligno, Fe, Gloria, Dios: Fidelidad, Dios: Gracia, Dios: Providencia, Santidad, Persecución, Oración: Petición, Salvación"
4,Seguridad en el Señor,8,lamento,"Sobrescrito, Selah, Neguinot (sobre cuerdas)","Alcohol, Enojo, Seguridad, Aliento, Fe, Dios: Fidelidad, Dios: Gracia, Santidad, Honestidad, Honor, Gozo, Paz, Oración, Justicia, Día de reposo, Sacrificio, Pecado, Estrés, Adoración"
5,Una oración pidiendo guía y protección,12,lamento,"Sobrescrito, Imprecatorio","Bendición, Maligno, Fe, Dios: Gracia, Dios: Amor, Dios: Providencia, Dios: Ira, Dolor, Orientación, Culpa, Santidad, Honestidad, Gozo, Música, Obediencia, Paciencia, Persecución, Oración, Oración: Petición, Orgullo, Reverencia, Justicia, Sacrificio, Discurso, Tabernáculo, Vigilancia, Adoración"
6,Una petición de perdón y liberación,10,lamento,"Sobrescrito, Imprecatorio, Penitencial, Neguinot (sobre cuerdas)","Muerte, Disciplina, Maligno, Fe, Dios: Fidelidad, Dios: Gracia, Dios: Amor, Dios: Misericordia, Dios: Ira, Dolor, Sanidad, Honor, Paciencia, Oración: Petición, Salvación"
7,Una oración para ser librado de los enemigos,17,lamento,"Sobrescrito, Selah, Al Señor","Carácter, Maligno, Fe, Dios: Ira, Honestidad, Juicio, Música, Persecución, Oración: Petición, Arrepentimiento, Justicia, Salvación, Gratitud, Violencia, Adoración"
8,Gloria del Señor en la creación,9,alabanza,"Mesiánico, Sobrescrito","Ángeles, Creación, Familia: Niños, Gloria, Honor, Humildad, Profecía: Jesús, Administración, Adoración"
9,Alabanza por la justicia del Señor,20,lamento,"Sobrescrito, Selah","Muerte, Eternidad, Maligno, Fe, Gloria, Dios: Fidelidad, Dios: Gracia, Dios: Presencia, Dios: Providencia, Felicidad, Esperanza, Humildad, Injusticia, Juicio, Justicia, Asesinato, Música, Persecución, Oración: Petición, Justicia, Salvación, Sufrimiento, Gratitud, Adoración"
10,Una oración a Dios para que acabe con el malvado,18,lamento,,"Injusticia, Oración: Petición, Maligno"
11,Confianza en la justicia del Señor,7,confianza,"Sobrescrito, Imprecatorio","Maligno, Fe, Dios: Conocimiento, Dios: Ira, Cielo, Santidad, Justicia, Persecución, Justicia, Tabernáculo, Violencia"
12,Falta de fidelidad humana y fidelidad de Dios,8,lamento,"Sobrescrito, Imprecatorio, Comunidad","Dios: Amor, Muerte, Profecía: Jesús, Pacto"
13,Confianza en la salvación del Señor,6,lamento,"Sobrescrito","Queja, Muerte, Aliento, Fe, Dios: Fidelidad, Dios: Amor, Dolor, Gozo, Música, Persecución, Oración: Petición, Salvación, Gratitud, Victoria"
14,La necedad de los impíos y triunfo final de Dios,7,lamento,"Sobrescrito","Ateísmo, Compromiso, Maligno, Temor, Insensatez, Dios: Fidelidad, Dios: Presencia, Dolor, Felicidad, Gozo, Pobreza, Restauración, Salvación, Pecado"
15,Una descripción de aquellos que pueden morar con el Señor,5,himno,"Liturgia del templo, Sobrescrito, Comunidad","Carácter, Economía, Amistad, Santidad, Honestidad, Honor, Dinero, Prójimos, Oración, Promesas, Pureza, Reverencia, Justicia, Calumnia, Discurso, Tabernáculo"
16,Confianza en el Señor,11,confianza,"Mesiánico, Sobrescrito, Mictam (oración)","Hermosura, Bendición, Contentamiento, Muerte, Escatología: Resurrección, Eternidad, Fe, Dios: Providencia, Dolor, Felicidad, Esperanza, Idolatría, Jesús: Resurrección, Gozo, Oración: Petición, Profecía: Jesús, Administración, Sabiduría"
17,Oración pidiendo vindicación y protección,15,lamento,"Sobrescrito, Tefilla (oración)","Compromiso, Escatología: Resurrección, Maligno, Fe, Familia: Niños, Dios: Amor, Dios: Providencia, Dolor, Cielo, Misericordia, Obediencia, Persecución, Oración: Petición, Orgullo, Revelación, Justicia, Salvación, Tentación, Violencia"
